Timestamp,Range_m,SNR_dB
2025-05-05 10:34:17.945,56.2879712802984,0.485141834991058
2025-05-05 10:34:18.066,56.2495397205666,0.426650791827679
2025-05-05 10:34:18.185,56.2111081608347,0.368159748664304
2025-05-05 10:34:18.321,56.1726766011028,0.769368472237645
2025-05-05 10:34:18.442,56.1342450413709,-0.650407109565123
2025-05-05 10:34:18.561,56.0958134816391,-0.383673180167186
2025-05-05 10:34:18.683,56.0573819219072,-0.20489803130787
2025-05-05 10:34:18.801,56.0189503621753,-0.0261228824485578
2025-05-05 10:34:18.920,55.9805188024434,0.139784808709109
2025-05-05 10:34:19.039,55.9420872427116,0.293175662387277
2025-05-05 10:34:19.169,55.9036556829797,0.446566516065445
2025-05-05 10:34:19.304,55.8652241232478,0.599957369743613
2025-05-05 10:34:19.423,55.8267925635159,0.753348223421781
2025-05-05 10:34:19.547,55.788361003784,0.624316687988394
2025-05-05 10:34:19.675,55.7499294440522,0.723944986818125
2025-05-05 10:34:19.807,55.7114978843203,0.77750688248662
2025-05-05 10:34:19.939,55.6730663245884,0.828311391475886
2025-05-05 10:34:20.077,55.6346347648565,0.879115900465159
2025-05-05 10:34:20.196,55.5962032051247,0.911512125726411
2025-05-05 10:34:20.313,55.5577716453928,0.775986037756002
2025-05-05 10:34:20.429,55.5193400856609,0.640459949785594
2025-05-05 10:34:20.558,55.480908525929,0.504933861815189
2025-05-05 10:34:20.679,55.4424769661972,0.369407773844781
2025-05-05 10:34:20.806,55.4040454064653,0.121107432972462
2025-05-05 10:34:20.926,55.3656138467334,0.479394264251003
2025-05-05 10:34:21.043,55.3271822870015,0.602863371344149
2025-05-05 10:34:21.173,55.2887507272697,0.79762761091747
2025-05-05 10:34:21.305,55.2503191675378,0.992391850490787
2025-05-05 10:34:21.425,55.2118876078059,1.1871560900641
2025-05-05 10:34:21.552,55.173456048074,1.24127852741207
2025-05-05 10:34:21.678,55.1350244883422,1.23241506911674
2025-05-05 10:34:21.797,55.0965929286103,1.2235516108214
2025-05-05 10:34:21.916,55.0581613688784,1.21468815252607
2025-05-05 10:34:22.035,55.0197298091465,0.930937188895893
2025-05-05 10:34:22.158,54.9812982494146,-0.722244348662485
2025-05-05 10:34:22.277,54.9428666896828,-0.731826636225268
2025-05-05 10:34:22.400,54.9044351299509,-0.562712077706674
2025-05-05 10:34:22.517,54.866003570219,-0.393597519188081
2025-05-05 10:34:22.640,54.8275720104871,-0.224482960669487
2025-05-05 10:34:22.769,54.7891404507553,-0.116092212100899
2025-05-05 10:34:22.888,54.7507088910234,-0.161877063921285
2025-05-05 10:34:23.007,54.7122773312915,-0.207661915741671
2025-05-05 10:34:23.126,54.6738457715596,-0.25344676756206
2025-05-05 10:34:23.254,54.6354142118278,-0.209563824477236
2025-05-05 10:34:23.373,54.5969826520959,0.758492202011869
2025-05-05 10:34:23.493,54.558551092364,0.504796764608468
2025-05-05 10:34:23.614,54.5201195326321,0.461279410001946
2025-05-05 10:34:23.748,54.4816879729003,0.417762055395421
2025-05-05 10:34:23.869,54.4432564131684,0.374244700788903
2025-05-05 10:34:23.993,54.4048248534365,0.330727346182378
2025-05-05 10:34:24.128,54.3663932937046,0.3917339021984
2025-05-05 10:34:24.253,54.3279617339728,0.467746765138148
2025-05-05 10:34:24.371,54.2895301742409,0.543759628077897
2025-05-05 10:34:24.490,54.251098614509,0.931126965930119
